,index,features,rank
484,42819,FC_mean_42819,484
485,30127,FC_mean_30127,485
486,42586,FC_mean_42586,486
487,44041,FC_mean_44041,487
488,29691,FC_mean_29691,488
489,5331,FC_mean_5331,489
490,24906,FC_mean_24906,489
491,15918,FC_mean_15918,491
492,44516,FC_mean_44516,492
493,17196,FC_mean_17196,493
494,2026,FC_mean_2026,494
495,1371,FC_mean_1371,495
496,39824,FC_mean_39824,496
497,31377,FC_mean_31377,497
498,18494,FC_mean_18494,498
499,10366,FC_mean_10366,499
500,34387,FC_mean_34387,500
501,24553,FC_mean_24553,501
502,10613,FC_mean_10613,501
503,20749,FC_mean_20749,503
504,29915,FC_mean_29915,504
505,33327,FC_mean_33327,505
506,34702,FC_mean_34702,506
507,4160,FC_mean_4160,507
508,39333,FC_mean_39333,508
509,34410,FC_mean_34410,509
510,42534,FC_mean_42534,510
511,25166,FC_mean_25166,511
512,43471,FC_mean_43471,512
513,28630,FC_mean_28630,513
514,30128,FC_mean_30128,514
515,10247,FC_mean_10247,515
516,36942,FC_mean_36942,516
517,17182,FC_mean_17182,517
518,44616,FC_mean_44616,518
519,1961,FC_mean_1961,519
520,26116,FC_mean_26116,520
521,17866,FC_mean_17866,521
522,20515,FC_mean_20515,522
523,40014,FC_mean_40014,523
524,2212,FC_mean_2212,524
525,26659,FC_mean_26659,525
526,15137,FC_mean_15137,526
527,13298,FC_mean_13298,527
528,18521,FC_mean_18521,529
529,29583,FC_mean_29583,529
530,39306,FC_mean_39306,529
531,1469,FC_mean_1469,531
532,35604,FC_mean_35604,532
533,27092,FC_mean_27092,532
534,44666,FC_mean_44666,534
535,42368,FC_mean_42368,535
536,7460,FC_mean_7460,536
537,33438,FC_mean_33438,537
538,24425,FC_mean_24425,538
539,18357,FC_mean_18357,539
540,37951,FC_mean_37951,539
541,25570,FC_mean_25570,541
542,7122,FC_mean_7122,542
543,21436,FC_mean_21436,543
544,42601,FC_mean_42601,544
545,33741,FC_mean_33741,545
546,23161,FC_mean_23161,546
547,2748,FC_mean_2748,547
548,1750,FC_mean_1750,547
549,26331,FC_mean_26331,549
550,36041,FC_mean_36041,550
551,23118,FC_mean_23118,551
552,8522,FC_mean_8522,552
553,36013,FC_mean_36013,553
554,17346,FC_mean_17346,554
555,37787,FC_mean_37787,555
556,27376,FC_mean_27376,556
557,478,FC_mean_478,557
558,22867,FC_mean_22867,558
559,39673,FC_mean_39673,559
560,23980,FC_mean_23980,560
561,37087,FC_mean_37087,561
562,38518,FC_mean_38518,562
563,629,FC_mean_629,563
564,32498,FC_mean_32498,564
565,39228,FC_mean_39228,565
566,38570,FC_mean_38570,566
567,32492,FC_mean_32492,567
568,23037,FC_mean_23037,568
569,30637,FC_mean_30637,568
570,38636,FC_mean_38636,570
571,9273,FC_mean_9273,571
572,22275,FC_mean_22275,571
573,7572,FC_mean_7572,573
574,32907,FC_mean_32907,574
575,2744,FC_mean_2744,575
576,32369,FC_mean_32369,576
577,2800,FC_mean_2800,577
578,37451,FC_mean_37451,578
579,13191,FC_mean_13191,579
580,32538,FC_mean_32538,580
581,17463,FC_mean_17463,581
582,28971,FC_mean_28971,582
583,27647,FC_mean_27647,583
584,21874,FC_mean_21874,584
585,25358,FC_mean_25358,585
586,20924,FC_mean_20924,586
587,40137,FC_mean_40137,586
588,39147,FC_mean_39147,588
589,43296,FC_mean_43296,589
590,21250,FC_mean_21250,590
591,5050,FC_mean_5050,591
592,32504,FC_mean_32504,592
593,35286,FC_mean_35286,593
594,37731,FC_mean_37731,594
595,44425,FC_mean_44425,595
596,10314,FC_mean_10314,596
597,44274,FC_mean_44274,597
598,6990,FC_mean_6990,598
599,1861,FC_mean_1861,598
600,11775,FC_mean_11775,600
601,1448,FC_mean_1448,601
602,43448,FC_mean_43448,602
603,102,FC_mean_102,603
604,30913,FC_mean_30913,604
605,17150,FC_mean_17150,605
606,30887,FC_mean_30887,605
607,7505,FC_mean_7505,607
608,7411,FC_mean_7411,608
609,24637,FC_mean_24637,609
610,14967,FC_mean_14967,610
611,29595,FC_mean_29595,610
612,5066,FC_mean_5066,612
613,19342,FC_mean_19342,613
614,1539,FC_mean_1539,614
615,27019,FC_mean_27019,615
616,13198,FC_mean_13198,616
617,15432,FC_mean_15432,617
618,23281,FC_mean_23281,618
619,17260,FC_mean_17260,619
620,35533,FC_mean_35533,620
621,4334,FC_mean_4334,621
622,22826,FC_mean_22826,622
623,32347,FC_mean_32347,623
624,41946,FC_mean_41946,624
625,4487,FC_mean_4487,625
626,39311,FC_mean_39311,626
627,10190,FC_mean_10190,627
628,20945,FC_mean_20945,628
629,41451,FC_mean_41451,629
630,30709,FC_mean_30709,630
631,8048,FC_mean_8048,631
632,26598,FC_mean_26598,632
633,40219,FC_mean_40219,633
634,41988,FC_mean_41988,634
635,21574,FC_mean_21574,635
636,19414,FC_mean_19414,636
637,6023,FC_mean_6023,637
638,10948,FC_mean_10948,638
639,24001,FC_mean_24001,639
640,26592,FC_mean_26592,640
641,20799,FC_mean_20799,641
642,37503,FC_mean_37503,642
643,17248,FC_mean_17248,643
644,43919,FC_mean_43919,644
645,18936,FC_mean_18936,645
646,42660,FC_mean_42660,646
647,19471,FC_mean_19471,647
648,18889,FC_mean_18889,648
649,23237,FC_mean_23237,649
650,2951,FC_mean_2951,650
651,22610,FC_mean_22610,651
652,41983,FC_mean_41983,652
653,25796,FC_mean_25796,652
654,21292,FC_mean_21292,654
655,42772,FC_mean_42772,654
656,5611,FC_mean_5611,656
657,5981,FC_mean_5981,657
658,14436,FC_mean_14436,658
659,19678,FC_mean_19678,659
660,33776,FC_mean_33776,660
661,8584,FC_mean_8584,661
662,38510,FC_mean_38510,662
663,9806,FC_mean_9806,663
664,23499,FC_mean_23499,664
665,21370,FC_mean_21370,665
666,358,FC_mean_358,666
667,31098,FC_mean_31098,667
668,41696,FC_mean_41696,668
669,10786,FC_mean_10786,669
670,43729,FC_mean_43729,670
671,7847,FC_mean_7847,671
672,1840,FC_mean_1840,672
673,37613,FC_mean_37613,673
674,13603,FC_mean_13603,674
675,38411,FC_mean_38411,675
676,22471,FC_mean_22471,675
677,17263,FC_mean_17263,677
678,14144,FC_mean_14144,678
679,8948,FC_mean_8948,679
680,17386,FC_mean_17386,680
681,2161,FC_mean_2161,681
682,14455,FC_mean_14455,682
683,35978,FC_mean_35978,683
684,13828,FC_mean_13828,684
685,19441,FC_mean_19441,685
686,18594,FC_mean_18594,685
687,21535,FC_mean_21535,687
688,43377,FC_mean_43377,688
689,40650,FC_mean_40650,689
690,43480,FC_mean_43480,690
691,21581,FC_mean_21581,691
692,23645,FC_mean_23645,692
693,6833,FC_mean_6833,693
694,38874,FC_mean_38874,694
695,13986,FC_mean_13986,695
696,21777,FC_mean_21777,696
697,44000,FC_mean_44000,697
698,9039,FC_mean_9039,698
699,3744,FC_mean_3744,699
700,33692,FC_mean_33692,700
701,23042,FC_mean_23042,701
702,42083,FC_mean_42083,702
703,42964,FC_mean_42964,703
704,43938,FC_mean_43938,704
705,2565,FC_mean_2565,705
706,44251,FC_mean_44251,705
707,5500,FC_mean_5500,707
708,23123,FC_mean_23123,708
709,21552,FC_mean_21552,709
710,43610,FC_mean_43610,710
711,40278,FC_mean_40278,711
712,9627,FC_mean_9627,712
713,29967,FC_mean_29967,713
714,42240,FC_mean_42240,714
715,6031,FC_mean_6031,715
716,38741,FC_mean_38741,716
717,16204,FC_mean_16204,717
718,13138,FC_mean_13138,718
719,6036,FC_mean_6036,719
720,16940,FC_mean_16940,720
721,10493,FC_mean_10493,720
722,42176,FC_mean_42176,722
723,5079,FC_mean_5079,723
724,5703,FC_mean_5703,724
725,17328,FC_mean_17328,725
726,42991,FC_mean_42991,726
727,21217,FC_mean_21217,727
728,32259,FC_mean_32259,727
729,8625,FC_mean_8625,729
730,29777,FC_mean_29777,730
731,2056,FC_mean_2056,731
732,43531,FC_mean_43531,732
733,19644,FC_mean_19644,733
734,43259,FC_mean_43259,734
735,30552,FC_mean_30552,735
